[t,theta1(t),theta2(t)] 
[0.3200000000000002, -0.036817993731373386, -0.11680251383342911] 
[0.3250000000000002, -0.03382255699292463, -0.1190560476196343] 
[0.3300000000000002, -0.03084064001418009, -0.12126624700878659] 
[0.3350000000000002, -0.027874244128543335, -0.12343054829752562] 
[0.3400000000000002, -0.024925341200764985, -0.12554643310606287] 
[0.3450000000000002, -0.021995871819715636, -0.12761143099858516] 
[0.3500000000000002, -0.01908774361144664, -0.1296231219343428] 
[0.3550000000000002, -0.016202829674480803, -0.13157913854614461] 
[0.3600000000000002, -0.01334296713829506, -0.13347716824435513] 
[0.3650000000000002, -0.010509955845008192, -0.1353149551458214] 
[0.3700000000000002, -0.00770555715337834, -0.13709030182843449] 
[0.3750000000000002, -0.004931492863356281, -0.1388010709132434] 
[0.3800000000000002, -0.0021894442586382805, -0.1404451864771739] 
[0.38500000000000023, 0.0005189487360771059, -0.14202063530045528] 
[0.39000000000000024, 0.003192088287096012, -0.14352546795381618] 
[0.39500000000000024, 0.00582841927756937, -0.14495779973137338] 
[0.40000000000000024, 0.00842642983226443, -0.14631581143589906] 
[0.40500000000000025, 0.010984651746821571, -0.14759775002381476] 
[0.41000000000000025, 0.013501660827432701, -0.14880192911782095] 
[0.41500000000000026, 0.015976077147188107, -0.14992672939553342] 
[0.42000000000000026, 0.018406565225579492, -0.15097059886286407] 
[0.42500000000000027, 0.020791834137820812, -0.15193205302115673] 
[0.43000000000000027, 0.02313063756075912, -0.15280967493727518] 
[0.4350000000000003, 0.02542177376219862, -0.15360211522594364] 
[0.4400000000000003, 0.02766408554045713, -0.1543080919536672] 
[0.4450000000000003, 0.0298564601209192, -0.1549263904735165] 
[0.4500000000000003, 0.0319978290162496, -0.15545586319995316] 
[0.4550000000000003, 0.034087167856788614, -0.15589542933270856] 
[0.4600000000000003, 0.03612349619747207, -0.15624407453851125] 
[0.4650000000000003, 0.038105877307407866, -0.1565008505991985] 
[0.4700000000000003, 0.040033417948002074, -0.1566648750344462] 
[0.4750000000000003, 0.041905268145265066, -0.15673533070701798] 
[0.4800000000000003, 0.04372062096164505, -0.156711465418072] 
[0.4850000000000003, 0.04547871227243715, -0.15659259149967764] 
[0.4900000000000003, 0.04717882055150287, -0.15637808541128903] 
[0.49500000000000033, 0.048820266670710724, -0.15606738734650025] 
[0.5000000000000003, 0.05040241371717624, -0.15566000085597406] 
[0.5050000000000003, 0.051924666832040285, -0.15515549249199112] 
[0.5100000000000003, 0.05338647307418055, -0.15455349147961603] 
[0.5150000000000003, 0.054787321311903316, -0.1538536894190189] 
[0.5200000000000004, 0.05612674214531222, -0.15305584002302974] 
[0.5250000000000004, 0.05740430786169846, -0.15215975889353794] 
[0.5300000000000004, 0.05861963242594306, -0.1511653233398803] 
[0.5350000000000004, 0.05977237150756693, -0.15007247224189177] 
[0.5400000000000004, 0.060862222545707806, -0.14888120595981824] 
[0.5450000000000004, 0.06188892485294571, -0.1475915862928153] 
[0.5500000000000004, 0.06285225975853867, -0.1462037364872763] 
[0.5550000000000004, 0.06375205079126879, -0.14471784129574977] 
